"Project name","ID","Country","Partners","Project type","Announcement","FID","Operation","Suspension/decommissioning","Project Status","Project phase","Announced capacity (Mt CO2/yr)","Estimated capacity by IEA (Mt CO2/yr)","Sector","Fate of carbon","Part of CCUS hub","Region","Ref 1","Ref 2","Ref 3","Ref 4","Ref 5","Ref 6","Ref 7","Link 1","Link 2","Link 3","Link 4","Link 5","Link 6","Link 7"
"Setouchi / Shikoku CO2 Hub Concept (capture sources under evaluation)",1014,"Japan-Australia","Woodside Energy with Sumitomo Corporation, JFE Steel Corporation, Sumitomo Osaka Cement Co. Ltd and Kawasaki Kisen Kaisha, Ltd.","Transport",2023,,,,"Planned",,,,"Transport","Dedicated storage",,"Other Asia Pacific - Australia and New Zealand","https://www.sumitomocorp.com/en/europe/news/topics/2023/group/20231218_1",,,,,,,"Link 1","","","","","",""
"Shah gas plant (Abu Dhabi CCS Phase 2)",6,"United Arab Emirates","ADNOC","Full chain",2020,,2030,,"Planned",,2.3,2.3,"Natural gas processing/LNG","EOR",,"Middle East","https://adnoc.ae/en/news-and-media/press-releases/2020/adnoc-to-build-on-its-position-as-one-of-the-least-carbon-intensive-oil-and-gas-producers",,,,,,,"Link 1","","","","","",""
"Shand",1117,"Canada","Saskpower","Capture",2018,,,,"Planned",,2,2,"Power and heat","EOR",,"North America","https://res.cloudinary.com/dbtfcnfij/images/v1700717007/Global-Status-of-CCS-Report-Update-23-Nov/Global-Status-of-CCS-Report-Update-23-Nov.pdf?_i=AA","https://imii.ca/first-of-its-kind-study-underway-in-saskatchewan-exploring-the-potential-for-carbon-capture-and-storage-hubs-for-minerals-and-power-production/",,,,,,"Link 1","Link 2","","","","",""
"Sharjah Hub ",906,"United Arab Emirates","Sharjah National Oil Corporation (SNOC), Sumitomo Middle East ","T&S",2023,,,,"Planned",,,,"T&S","Dedicated storage","Sharjah Hub ","Middle East","https://www.nsenergybusiness.com/news/sumitomo-snoc-sign-mou-for-ccs-project-development-in-sharjah-uae/",,,,,,,"Link 1","","","","","",""
"Shell Deer Park Chemical complex (TX)",702,"United States","Wood Environment & Infrastructure Solutions","Capture",2021,,,,"Planned",,,,"Chemicals","Unknown/unspecified",,"North America","https://www.energy.gov/fecm/articles/foa-2187-and-foa-2188-project-selections",,,,,,,"Link 1","","","","","",""
"Shell Netherlands Refineries biodiesel",364,"Netherlands","Shell","Capture",2021,2021,2026,,"Under construction",,0.38,0.38,"Biofuels","Dedicated storage","Porthos","Europe","https://www.offshore-technology.com/news/shell-biofuels-refinery-netherlands/",,,,,,,"Link 1","","","","","",""
"Shell Netherlands Refineries heavy residue gasification CCS",365,"Netherlands","Shell","Capture",2021,,2026,,"Under construction",,0.75,0.75,"Other fuel transformation","Dedicated storage","Porthos","Europe","http://media.hydrocarbonengineering.com/whitepapers/files/The-Shell-Blue-Hydrogen-Process.pdf",,,,,,,"Link 1","","","","","",""
"Shell Netherlands Refineries heavy residue gasification CCU",365,"Netherlands","Shell","CCU",,,1997,2026,"Operational",,0.75,0.75,"Other fuel transformation","Use",,"Europe","http://media.hydrocarbonengineering.com/whitepapers/files/The-Shell-Blue-Hydrogen-Process.pdf",,,,,,,"Link 1","","","","","",""
"Shell Uniper Humber Hub Blue North Killingholme",366,"United Kingdom","Shell, Uniper","Capture",2022,2024,2027,,"Planned",,1.6,1.6,"Hydrogen or ammonia","Dedicated storage","Northern Endurance Partnership","Europe","https://www.business-live.co.uk/manufacturing/energy-giants-uniper-shell-unite-23666723",,,,,,,"Link 1","","","","","",""
"Shepard Energy Centre (SEC) (ALB)",611,"Canada","Enmax Energy Corporation","Capture",2022,,,,"Planned",,,,"Power and heat","Unknown/unspecified",,"North America","https://www.eralberta.ca/projects/details/shepard-energy-centre-carbon-capture-unit-feed-study/",,,,,,,"Link 1","","","","","",""
"Sinopec Nanjing Chemical Industries CCUS Cooperation Project (Jiangsu)",369,"People's Republic of China","Sinopec","Full chain",2015,,2021,,"Operational",,0.2,0.2,"Chemicals","EOR","Jiangsu oilfield","Other Asia Pacific","https://www.upstreamonline.com/energy-transition/sinopec-utilising-carbon-capture-to-enhance-oil-recovery/2-1-1142311","https://news.bjx.com.cn/html/20211230/1196712.shtml",,,,,,"Link 1","Link 2","","","","",""
"Sinopec Qilu Petrochemical Shengli (Shandong)",370,"People's Republic of China","Sinopec, Qilu Petrochemical","Full chain",2012,2021,2022,,"Operational",,"0.7 - 1",1,"Chemicals","EOR","Shengli oilfield","Other Asia Pacific","https://www.sciencedirect.com/science/article/abs/pii/S1364032119308093","https://baijiahao.baidu.com/s?id=1704431415159222866&wfr=spider&for=pc","https://www.upstreamonline.com/energy-transition/sinopec-utilising-carbon-capture-to-enhance-oil-recovery/2-1-1142311","https://www.rigzone.com/news/sinopec_finishes_first_megaton_ccus_project_in_china-31-jan-2022-167744-article/","http://www.sinopecgroup.com/group/en/Sinopecnews/20220130/news_20220130_467995626111.shtml","http://www.sinopec.com/listco/en/csr/kcx/hjjx.shtml",,"Link 1","Link 2","Link 3","Link 4","Link 5","Link 6",""
"Sinopec Shengli Power Plant CCS (Shandong)",371,"People's Republic of China","Sinopec","Full chain",2011,,2030,,"Planned",,"1 - 2",2,"Power and heat","EOR","Shengli oilfield","Other Asia Pacific","https://www.upstreamonline.com/energy-transition/sinopec-launches-china-s-largest-ccus-project/2-1-1035803",,,,,,,"Link 1","","","","","",""
"Siouxland Energy Cooperative Sioux Center biorefinery (IA)",372,"United States","Siouxland Energy Cooperative, Summit Carbon Solutions","Capture",2021,2024,2024,,"Planned",,"0.16 - 0.19",0.186,"Biofuels","Dedicated storage","Midwest carbon express","North America","https://www.summitcarbonsolutions.com/our-partners","https://www.reuters.com/markets/commodities/giant-pipeline-us-midwest-tests-future-carbon-capture-2021-11-23/","https://www.summitcarbonsolutions.com/news/scsexpansionannouncement",,,,,"Link 1","Link 2","Link 3","","","",""
"Sizewell C nuclear-powered DAC Full-scale",440,"United Kingdom","Sizewell C,  Nottingham University, Strata Technology, Atkins and Doosan Babcock","Capture",2022,,2030,,"Planned",1,0.05,0.05,"DAC","Dedicated storage",,"Europe","https://world-nuclear-news.org/Articles/%E2%80%98Megatonne%E2%80%99-CO2-capture-plant-plan-for-Sizewell-C","https://www.edfenergy.com/energy/nuclear-new-build-projects/sizewell-c/news-views/sizewell-c-and-partners-awarded-direct-air-capture-funding",,,,,,"Link 1","Link 2","","","","",""
"SK E&S Honeywell gas power plant",919,"South Korea","Honeywell, SK E&S ","Capture",2023,,,,"Planned",,,,"Power and heat","Unknown/unspecified",,"Other Asia Pacific","https://carbonherald.com/honeywell-announces-carbon-capture-deal-with-south-koreas-sk-es/",,,,,,,"Link 1","","","","","",""
"Sleipner",374,"Norway","Equinor, Eni","Full chain",1991,,1996,,"Operational",,1,1,"Natural gas processing/LNG","Dedicated storage",,"Europe","https://www.ice.org.uk/knowledge-and-resources/case-studies/sleipner-carbon-capture-storage-project","https://www.equinor.com/news/20220318-annual-sustainability-reports-2021",,,,,,"Link 1","Link 2","","","","",""
"Snohvit CO2 capture and storage",375,"Norway","Equinor, Petoro, TotalEnergies, Eni (following acquisition of Neptune Energy), Wintershall","Full chain",2002,2002,2008,,"Operational",,0.7,0.7,"Natural gas processing/LNG","Dedicated storage",,"Europe","https://www.sciencedirect.com/science/article/pii/S187661021300492X","https://www.offshore-technology.com/projects/snohvit-field/","https://www.equinor.com/news/20220318-annual-sustainability-reports-2021",,,,,"Link 1","Link 2","Link 3","","","",""
"Soderenergi Igelsta plant",51,"Sweden","Soderenergi, Aker CC (feasibility) (first feasibility by biorecro)","Capture",2020,2026,2030,,"Planned",,0.5,0.5,"Power and heat","Dedicated storage",,"Europe","http://www.energimyndigheten.se/forskning-och-innovation/projektdatabas/sokresultat/?projectid=32420","https://www.biorecro.com/breaking-new-ground-with-beccs/",,,,,,"Link 1","Link 2","","","","",""
"South East Australia carbon capture and storage (SEA CCS) hub",376,"Australia","Esso Australia Resources Pty Ltd (ExxonMobil), BHP Petroleum Pty Ltd ","T&S",2022,,2025,,"Planned",,"0.5 - 2",2,"T&S","Dedicated storage","Sea CCS hub","Australia and New Zealand","https://www.carboncapturejournal.com/ViewNews.aspx?NewsID=5056","https://www.exxonmobil.com.au/-/media/australia/files/energy-and-environment/upstream-operations/sea-ccs-project-pcp.pdf","https://www.exxonmobil.com.au/-/media/Australia/Files/Energy-and-environment/Upstream-operations/SEA-CCS-Pipeline-Fact-Sheet--About-the-Project.pdf",,,,,"Link 1","Link 2","Link 3","","","",""
"South Texas DAC Hub (TX)",474,"United States","1PointFive, Oxy low carbon ventures (Occidental)","Full chain",2022,,,,"Planned",1,1,1,"DAC","Dedicated storage","South Texas DAC Hub","North America","https://carbonengineering.com/news-updates/multi-million-tonne-south-texas/","https://www.oxy.com/news/news-releases/1pointfive-and-carbon-engineering-announce-direct-air-capture-deployment-approach-to-enable-global-build-out-of-plants/","https://www.energy.gov/articles/biden-harris-administration-announces-12-billion-nations-first-direct-air-capture",,,,,"Link 1","Link 2","Link 3","","","",""
"South West Blue Hydrogen",377,"Australia","Pilot Energy","Capture",2021,,,,"Planned",,,,"Hydrogen or ammonia","Dedicated storage","South West Hub Project","Australia and New Zealand","https://www.pilotenergy.com.au/sites/pilotenergy.com.au/files/asx-announcements/61013340.pdf","https://fuelcellsworks.com/news/consortium-formed-to-progress-pilots-mid-west-blue-hydrogen-and-carbon-capture-storage-ccs-project/","https://www.pilotenergy.com.au/blue-hydrogen",,,,,"Link 1","Link 2","Link 3","","","",""
"South West Hub Project",378,"Australia","Department of Mines, Industry Regulation and Safety (DMIRS)","Storage",2010,,,,"Planned",,0.8,0.8,"Storage","Dedicated storage","South West Hub Project","Australia and New Zealand","https://www.dmp.wa.gov.au/South-West-Hub-CCS-1489.aspx","https://www.dmp.wa.gov.au/South-West-Hub-CCS-1489.aspx",,,,,,"Link 1","Link 2","","","","",""
"Southeast Saskatchewan CCUS Hub (Belle Plaine and Weyburn) (SK)",574,"Canada","Whitecap Resources Inc.","T&S",2021,2024,2025,,"Planned",2,"1.2 - 3",3,"T&S","Dedicated storage","Southeast Saskatchewan CCUS Hub (Belle Plaine and Weyburn)","North America","https://www.fcl.crs/news-reports/news/article/fcl-exploring-carbon-capture-with-whitecap-to-meet-emissions",,,,,,,"Link 1","","","","","",""
"Southeastern Illinois Basin CarbonSAFE (KT)",960,"United States","Battelle Memorial Institute","Storage",2023,,,,"Planned",,,,"Storage","Dedicated storage","Southeastern Illinois Basin CarbonSAFE (KT)","North America","https://www.energy.gov/fecm/project-selections-foa-2711-carbon-storage-validation-and-testing-round-2",,,,,,,"Link 1","","","","","",""
"Stade facility Green Methanol",1045,"Germany","Dow","CCU",2019,,,,"Planned",,,0.274,"Chemicals","Use",,"Europe","https://future.hamburg/en/artikel/dow-stade-making-chemicals-industry-carbon-neutral",,,,,,,"Link 1","","","","","",""
"Stakraft Varme Trondheim",1112,"Norway","Statkraft Varme","Capture",2023,,2030,,"Planned",,0.24,0.24,"Power and heat","Dedicated storage","Northern Lights","Europe","https://www.statkraft.com/newsroom/news-and-stories/2023/carbon-capture-how-waste-incineration-can-become-climate-neutral/",,,,,,,"Link 1","","","","","",""
"Stenlille project (CO2RYLUS)",786,"Denmark","Gas Storage Denmark","Storage",2022,,2026,,"Planned",,0.5,0.5,"Storage","Dedicated storage",,"Europe","https://ens.dk/sites/ens.dk/files/CCS/nsbtf_strategic_plan_updated_16.3_final_002.pdf","https://www.businesswire.com/news/home/20230712819960/en/Gas-Storage-Denmark-Call-for-Interest","https://carbonherald.com/carbon-capture-scotland-secures-pioneering-european-storage-project/",,,,,"Link 1","Link 2","Link 3","","","",""
"Stockholm Exergi Värtan CHP CCS (BECCS@STHLM)",380,"Sweden","Stockolm Exergi, CO2 Capsol (FEED)","Capture",2021,2024,2026,,"Planned",,0.8,0.8,"Power and heat","Dedicated storage",,"Europe","https://www.worldoil.com/news/2021/9/16/petrofac-and-co2-capsol-collaborate-on-carbon-capture-initiatives","https://www.stockholmexergi.se/om-stockholm-exergi/about-stockholm-exergi/negative-emissions/bio-ccs/","https://ec.europa.eu/clima/system/files/2021-11/policy_funding_innovation-fund_large-scale_successful_projects_en.pdf","https://s3.amazonaws.com/kajabi-storefronts-production/sites/115985/themes/2148343364/downloads/PvmersByTLqblK07dsqx_200721_Stockholm_Exergi_has_selected_CO2_Capsol_s_End_of_Pipe_solution_.pdf","https://ec.europa.eu/clima/system/files/2022-04/if_pf%202022_beccs_en_0.pdf","https://www.carboncapturejournal.com/ViewNews.aspx?NewsID=5472","https://www.capsoltechnologies.com/","Link 1","Link 2","Link 3","Link 4","Link 5","Link 6","Link 7"
"STRATOS (Ector County) (TX)",115,"United States","1PointFive, Oxy low carbon ventures (Occidental), Blackrock","Full chain",2019,2022,2025,,"Under construction",1,0.5,0.5,"DAC","Mixed",,"North America","https://www.1pointfive.com/1pointfive-selects-worley-for-feed","https://pboilandgasmagazine.com/oxy-outlines-plans-for-direct-air-carbon-capture-plant-in-permian-basin/","https://www.reuters.com/business/energy/occidental-misses-fourth-quarter-profit-estimates-2023-02-27/",,,,,"Link 1","Link 2","Link 3","","","",""
"Structure A&E",622,"Lybia","Eni, National Oil Corporation (NOC) Libya","Full chain",2023,,2027,,"Planned",,1.6,1.6,"Natural gas processing/LNG","Dedicated storage",,"Africa","https://www.eni.com/en-IT/media/press-release/2023/01/eni-launches-a-major-gas-development-project-in-libya.html","https://www.seetao.com/details/200627.html",,,,,,"Link 1","Link 2","","","","",""
"Stryde CO2 storage assessment Brazil",837,"Brazil","Stryde, bioethanol producers (XX)","Storage",2023,,,,"Planned",,,,"Storage","Dedicated storage",,"Central and South America","https://strydefurther.com/news/first-large-scale-onshore-nodal-ccs-exploration-projects-in-brazil-commence",,,,,,,"Link 1","","","","","",""
"Suek Blue Ammonia Borodinsky",383,"Russia","Agency for Economic Development of the Leningrad Region, Suek","Full chain",2021,,2027,,"Planned",,,,"Hydrogen or ammonia","EOR",,"Eurasia","https://www.fertilizerdaily.com/20211111-suek-is-exploring-the-way-to-the-ammonia-market/",,,,,,,"Link 1","","","","","",""
"Suez Tees Valley / Haverton Hill Waste to Energy CCS",384,"United Kingdom","Suez","Capture",2020,2025,2027,,"Planned",,0.24,0.24,"Power and heat","Dedicated storage","Northern Endurance Partnership","Europe","https://www.suez.co.uk/en-gb/news/press-releases/201116-reduction-of-co2-emissions-by-2030","https://www.bbc.com/news/uk-england-tees-61231252",,,,,,"Link 1","Link 2","","","","",""
"Sukowati CO2-EOR (Jambaran Tiung Biru gas processing)",230,"Indonesia","Pertamina, Lemigas, JAPEX (supported by METI), JOGMEC","Full chain",2020,2024,2025,,"Planned",,"0.47 - 0.93",0.93,"Natural gas processing/LNG","EOR",,"Other Asia Pacific","https://www.japanccs.com/wp/wp-content/uploads/2020/10/CCUS-Activities-in-Indonesia_Dr.-Adhi-Wibowo.pdf","https://www.sciencedirect.com/science/article/pii/S0921344921006777#!",,,,,,"Link 1","Link 2","","","","",""
"Suncor Edmonton Refinery - Fluid Catalytic Cracker Capture (ALB)",610,"Canada","Suncor, Svante","Capture",2022,,,,"Planned",,,,"Other fuel transformation","Unknown/unspecified",,"North America","https://www.eralberta.ca/projects/details/svantes-co2-capture-process-for-suncors-fluid-catalytic-cracker/",,,,,,,"Link 1","","","","","",""
"Sunda Asri Basin CCUS hub",762,"Indonesia","Pertamina, ExxonMobil ","Storage",2022,,2030,,"Planned",,,,"Storage","Dedicated storage","Sunda Asri Basin CCUS hub","Other Asia Pacific","https://acnf.jp/program/file/presentation/7_Panelist_MEMR-IDN.pdf","https://static1.squarespace.com/static/60b8dd7acb58186e05cb8387/t/63e31f41c84c7e0cbf1d4829/1675829057767/peta-ccus.jpg","https://www.pertamina.com/en/news-room/news-release/pertamina-cooperates-with-exxonmobil-to-study-ccus-technology-application-in-three-oil-and-gas-field-areas","https://www.pertamina.com/en/news-room/news-release/pertamina-exxonmobil-explores-carbon-capture-storage-hub-development",,,,"Link 1","Link 2","Link 3","Link 4","","",""
"Sundsvall Korsta plant CCS",989,"Sweden","Liquid Wind, Sundsvall Energi","Capture",2023,2024,2026,,"Planned",2,,0.063,"Power and heat","Dedicated storage",,"Europe","https://www.liquidwind.se/news/liquidwind-announces-plans-for-flagshiptwo-sundsvall","https://www.liquidwind.se/facilities",,,,,,"Link 1","Link 2","","","","",""
"Susitna Power Plant (AK)",977,"United States","The Commonwealth of Virginia DoE (Big Stone Gap)","Capture",2023,,,,"Planned",,,,"Power and heat","Dedicated storage","Alaska Railbelt CCS Project (AK)","North America","https://www.energy.gov/fecm/project-selections-foa-2711-carbon-storage-validation-and-testing-round-2",,,,,,,"Link 1","","","","","",""
"Sustainable Fuels Group - CIP blue ammonia plant",827,"United States","Sustainable Fuels Group, Copenhagen Infrastructure Partners (CIP) ","Capture",2023,,2027,,"Planned",,,2.4,"Hydrogen or ammonia","Unknown/unspecified",,"North America","https://www.offshore-energy.biz/cip-buys-into-blue-ammonia-project-in-the-gulf-coast/",,,,,,,"Link 1","","","","","",""
"Sutter Decarbonization Project (CA)",716,"United States","Gas Technology Institute, Calpine, 1pointfive (storage)","T&S",2023,2024,2028,,"Planned",,1.8,1.8,"T&S","Dedicated storage","Sutter Decarbonization Project (CA)","North America","https://www.energy.gov/fecm/project-selections-foa-2610-carbonsafe-phase-ii-storage-complex-feasibility","https://www.smud.org/-/media/Documents/Corporate/About-Us/Board-Meetings-and-Agendas/2023/May/Exhibit-to-Agenda-Item-1---Calpine-Presentation.ashx","https://www.epa.gov/uic/uic-permits-epas-pacific-southwest-region-9",,,,,"Link 1","Link 2","Link 3","","","",""
"Svante capture Linde SMR plant (TX) ",261,"United States","BP","Capture",2021,,2026,,"Planned",,1.1,1.1,"Hydrogen or ammonia","Dedicated storage",,"North America","https://www.bp.com/en/global/corporate/news-and-insights/press-releases/bp-and-linde-plan-major-ccs-project-to-advance-decarbonization-efforts-across-texas-gulf-coast.html","https://www.energy.gov/fecm/articles/us-department-energy-selects-12-projects-improve-fossil-based-hydrogen-production",,,,,,"Link 1","Link 2","","","","",""
"Sweetwater Carbon Storage Hub (WY)",797,"United States","University of Wyoming, Frontier Carbon Solutions Holdings LLC ","Storage",2023,,,,"Planned",,1.27,1.27,"Storage","Dedicated storage","Sweetwater Carbon Storage Hub (WY)","North America","https://www.energy.gov/fecm/project-selections-foa-2711-carbon-storage-validation-and-testing-round-1","https://www.hartenergy.com/exclusives/frontier-receives-federal-funds-develop-carbon-storage-hub-205639",,,,,,"Link 1","Link 2","","","","",""
"TA’ZIZ blue ammonia",387,"United Arab Emirates","ADNOC, TA'ZIZ, Fertiglobe, Mitsui, GS Energy","Full chain",2020,2024,2025,,"Planned",,,1.658,"Hydrogen or ammonia","Unknown/unspecified",,"Middle East","https://adnoc.ae/en/news-and-media/press-releases/2021/adnoc-to-build-world-scale-blue-ammonia-project","https://www.offshore-energy.biz/mitsui-and-gs-join-taziz-in-blue-ammonia-project/","https://www.adnoc.ae/en/news-and-media/press-releases/2023/taziz-progresses-with-low-carbon-ammonia-shareholder-agreement","https://www.zawya.com/en/press-release/companies-news/taziz-progresses-with-low-carbon-ammonia-shareholder-agreement-a0zxqo6i",,,,"Link 1","Link 2","Link 3","Link 4","","",""
"Taiwan Cement Hoping oxyfuel pilot",1076,"Taiwan","Taiwan cement, Thyssenkrupp Polysius","Capture",2024,,2026,,"Planned",,0.1,0.1,"Cement","Unknown/unspecified",,"Other Asia Pacific","https://insights.thyssenkrupp-polysius.com/news/taiwan-cement-and-thyssenkrupp-polysius-sign-mou-to-build-a-separate-oxyfuel-calciner-in-taiwan/",,,,,,,"Link 1","","","","","",""
"Taiwan Cement Hoping/Heping plant",494,"Taiwan","Taiwan cement","CCU",2019,,2030,,"Planned",1,0.1,0.1,"Cement","Use",,"Other Asia Pacific","https://www.taiwancement.com/en/esgGhgCarbonEmissions.html",,,,,,,"Link 1","","","","","",""
"Tambak Lorok Gas-Fired Power Plant",998,"Indonesia","JERA, JGC Holdings, PLN","Full Chain",2023,,,,"Planned",,,,"Power and heat","Unknown/unspecified",,"Other Asia Pacific","https://www.jera.co.jp/en/news/information/20231019_1695",,,,,,,"Link 1","","","","","",""
"Tampa Regional Intermodal Carbon HUB (T-RICH) (FL)",1011,"United States","Overseas Shipholding Group, Inc.","Transport",2023,,,,"Planned",,2,2,"Transport","Unknown/unspecified","Tampa Regional Intermodal Carbon HUB (T-RICH) (FL)","North America","https://www.energy.gov/fecm/articles/doe-invests-45-million-reduce-carbon-pollution#:~:text=WASHINGTON%2C%20D.C.%20%E2%80%94%20The%20U.S.%20Department,successful%20carbon%20transport%20and%20storage","https://www.energy.gov/fecm/project-selections-foa-2614-carbon-management-round-3",,,,,,"Link 1","Link 2","","","","",""
"Tangguh CCUS hub",860,"Indonesia","BP","Storage",2023,,,,"Planned",2,,,"Storage","Dedicated storage","Tangguh CCUS hub","Other Asia Pacific","https://www.chuden.co.jp/english/corporate/releases/pressreleases/1211821_5163.html",,,,,,,"Link 1","","","","","",""
"Tangguh LNG EGR",388,"Indonesia","BP (Mitsubishi, Inpex,  JX  Nippon,  KG  Mitsui,  LNG  Japan,  CNOOC), ITB","Full chain",2021,2024,2027,,"Planned",1,"2.5 - 3.3",3.3,"Natural gas processing/LNG","EOR","Tangguh CCUS hub","Other Asia Pacific","https://www.reuters.com/business/sustainable-business/indonesia-approves-plan-develop-ubadari-gas-field-vorwata-carbon-project-2021-08-30/","https://www.japanccs.com/wp/wp-content/uploads/2020/10/CCUS-Activities-in-Indonesia_Dr.-Adhi-Wibowo.pdf","https://www.energyvoice.com/oilandgas/436132/bp-seeks-feed-contractor-for-ccs-project-at-tangguh-lng/","https://acnf.jp/program/file/presentation/7_Panelist_MEMR-IDN.pdf",,,,"Link 1","Link 2","Link 3","Link 4","","",""
"Tarastenjärvi power (Tampere)",1028,"Finland","RenGas, Tampereen Energia","CCU",2021,2024,2026,,"Planned",,0.11,0.11,"Power and heat","Use",,"Europe","https://ren-gas.com/en/projekti/tampere-2/",,,,,,,"Link 1","","","","","",""
"Tees Valley Energy Recovery Facility (TVERF)",639,"United Kingdom","Hartlepool Borough Council (leading partnership with 6 other councils)","Capture",2022,,2026,,"Planned",,,,"Power and heat","Dedicated storage","Northern Endurance Partnership","Europe","https://www.tverf.co.uk/",,,,,,,"Link 1","","","","","",""
"Terrell Natural Gas Processing Plant (former Val Verde) (TX)",389,"United States","Blue Source, Occidental (Oxy), Chevron","Full chain",,,1972,,"Operational",,"0.4 - 0.5",0.5,"Natural gas processing/LNG","EOR",,"North America","https://sequestration.mit.edu/tools/projects/val_verde.html","http://www.bluesource.com/portfolio/val-verde-pipeline-co2-emission-reductions-as-a-powerful-economic-tool/","https://energy.uq.edu.au/files/2283/WP3_CCS%20Roadmaps%20and%20Projects.pdf",,,,,"Link 1","Link 2","Link 3","","","",""
"Tharaldson Ethanol Casselton biorefinery (ND)",390,"United States","Tharaldson Ethanol, Summit Carbon Solutions","Capture",2021,2024,2024,,"Planned",,"0.43 - 0.5",0.501,"Biofuels","Dedicated storage","Midwest carbon express","North America","https://www.summitcarbonsolutions.com/our-partners","https://www.reuters.com/markets/commodities/giant-pipeline-us-midwest-tests-future-carbon-capture-2021-11-23/","https://www.summitcarbonsolutions.com/news/scsexpansionannouncement",,,,,"Link 1","Link 2","Link 3","","","",""
"The Bluestreak CO2 Joint Venture",907,"United Kingdom","Navigator Holdings (50%), Bumi Armada Berhad (50%) ","T&S",2023,,,,"Planned",,30,30,"T&S","Dedicated storage",,"Europe","https://www.offshore-energy.biz/navigator-holdings-joins-hands-with-bumi-armada-on-co2-shipping-and-injection-jv/",,,,,,,"Link 1","","","","","",""
"The ZEROS project Chambers & Liberty County (Jefferson) (TX)",391,"United States","Texas Water Resources Institute","Capture",2019,,2024,,"Planned",,1.5,1.5,"Power and heat","EOR",,"North America","https://www.prnewswire.com/news-releases/systems-international-announces-two-power-plants-300973783.html","https://zerosinc.com/",,,,,,"Link 1","Link 2","","","","",""
"Thorning storage",1069,"Denmark","Unknown partners","Storage",2022,,,,"Planned",,,,"Storage","Dedicated storage",,"Europe","https://ens.dk/en/our-responsibilities/ccs-carbon-capture-and-storage/licenses-exploration-and-storage-co2-including",,,,,,,"Link 1","","","","","",""
"Timberland Sequestration project (AL)",795,"United States","Timberlands Sequestration LLC, Alabama River Cellulose (ARC), Georgia Pacific LLC","Full chain",2023,,,,"Planned",,2,2,"Other industry","Dedicated storage","Timberland Sequestration project","North America","https://www.energy.gov/fecm/project-selections-foa-2711-carbon-storage-validation-and-testing-round-1",,,,,,,"Link 1","","","","","",""
"Tohoku Region West Coast CCS",666,"Japan","ITOCHU, ITOCHU Oil exploration  Mitsubishi HI, INPEX, Taisei","T&S",2023,,2030,,"Planned",,2,2,"T&S","Dedicated storage","Tohoku Region West Coast CCS","Other Asia Pacific","https://www.itochu.co.jp/en/news/press/2023/230126.html","https://www.meti.go.jp/english/press/2023/0613_001.html",,,,,,"Link 1","Link 2","","","","",""
"Tohoku Region West Coast CCS - Nippon Steel",937,"Japan","Nippon Steel","Capture",2023,,2030,,"Planned",,,,"Iron and steel","Dedicated storage","Tohoku Region West Coast CCS","Other Asia Pacific",,,,,,,,"","","","","","",""
"Tohoku Region West Coast CCS - Taiheiyo Cement ",938,"Japan","Taiheiyo Cement Corporation","Capture",2023,,2030,,"Planned",,,,"Cement","Dedicated storage","Tohoku Region West Coast CCS","Other Asia Pacific",,,,,,,,"","","","","","",""
"Tomakomai area CCS",667,"Japan","Idemitsu, Hokkaido Electric Power, JAPEX","T&S",2023,,2030,,"Planned",,1.5,1.5,"T&S","Dedicated storage","Tomakomai area CCS","Other Asia Pacific","https://www.japex.co.jp/en/news/detail/20230126_01/","https://www.meti.go.jp/english/press/2023/0613_001.html",,,,,,"Link 1","Link 2","","","","",""
"Tomakomai area CCS - Hokkaido Electric Tomatouatsuma power station",1091,"Japan","Hokkaido Electric Power","Capture",2023,,2030,,"Planned",,,,"Power and heat","Dedicated storage","Tomakomai area CCS","Other Asia Pacific","https://www.meti.go.jp/english/press/2023/0613_001.html",,,,,,,"Link 1","","","","","",""
"Tomakomai area CCS - Idemitsu Kosan Hokkaido Refinery",1092,"Japan","Idemitsu","Capture",2023,,2030,,"Planned",,,,"Other fuel transformation","Dedicated storage","Tomakomai area CCS","Other Asia Pacific","https://www.meti.go.jp/english/press/2023/0613_001.html",,,,,,,"Link 1","","","","","",""
"Tourmaline Clearwater CCUS (ALB)",514,"Canada"," Tourmaline Oil Corp.","Storage",2022,,,,"Planned",,10,10,"Storage","Dedicated storage","Tourmaline Clearwater CCUS (ALB)","North America","https://www.alberta.ca/carbon-capture-utilization-and-storage-hub-development-process.aspx",,,,,,,"Link 1","","","","","",""
"Tracy DAC facility",985,"United States","Heirloom, CarbonCure","CCU",2021,,2023,,"Operational",,0.001,0.001,"DAC","Use",,"North America","https://www.heirloomcarbon.com/news/heirloom-unveils-americas-first-commercial-direct-air-capture-facility",,,,,,,"Link 1","","","","","",""
"Trailblazer CO2 pipeline",769,"United States","Tallgrass energy","Transport",2022,,,,"Planned",,10,10,"Transport","Dedicated storage","Eastern Wyoming Sequestration Hub (WY)","North America","https://ir.tallgrass.com/news-market-information/press-releases/press-release/2022/Tallgrass-to-Capture-and-Sequester-CO2-Emissions-From-ADM-Corn-Processing-Complex-in-Nebraska/default.aspx",,,,,,,"Link 1","","","","","",""
"Tri-state project (WV, OH, PA)",983,"United States","Southern States Energy Board","Storage",2023,,,,"Planned",,,,"Storage","Dedicated storage","Tri-state project (WV, OH, PA)","North America","https://www.energy.gov/fecm/project-selections-foa-2711-carbon-storage-validation-and-testing-round-2",,,,,,,"Link 1","","","","","",""
